alert_id,application,alert_timestamp,alert_type,severity,root_cause,resolution_steps,mean_time_to_detect,mean_time_to_resolve,escalated,resolved_by,change_implemented,post_resolution_status
ALERT-97197,InsuranceApp,02/08/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,13,77,Yes,Infrastructure Team,None,Reoccurred
ALERT-70151,PaymentGateway,22/06/2024 00:00,Delayed Response Time,Medium,High server load,Implement caching mechanisms,24,105,No,Infrastructure Team,Database Indexing,Reoccurred
ALERT-90021,InsuranceApp,06/03/2025 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Fix memory leaks in code,6,88,Yes,Automated System,Network Rerouting,Resolved
ALERT-39584,InsuranceApp,04/06/2024 00:00,High CPU Usage,Critical,Memory leaks,Auto-scale infrastructure,6,40,No,Support Engineer,Network Rerouting,Closed
ALERT-50133,PaymentGateway,05/10/2024 00:00,Service Unavailability,Critical,Network connectivity issues,Rollback recent deployments,18,29,Yes,Support Engineer,Infrastructure Scaling,Resolved
ALERT-88072,PaymentGateway,09/04/2024 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,5,27,No,Infrastructure Team,Network Rerouting,Partially Fixed
ALERT-61726,PaymentGateway,05/11/2024 00:00,High CPU Usage,High,Memory leaks,Optimize queries and code,3,78,No,Support Engineer,Database Indexing,Closed
ALERT-32416,InventoryService,17/06/2024 00:00,High CPU Usage,Medium,Unexpected traffic spike,Restart impacted services,3,83,No,Automated System,Network Rerouting,Resolved
ALERT-98098,LoanProcessing,03/01/2025 00:00,Service Unavailability,High,Network connectivity issues,Investigate network issues,4,45,Yes,Support Engineer,Database Indexing,Reoccurred
ALERT-59663,InsuranceApp,21/09/2024 00:00,High CPU Usage,Critical,Unexpected traffic spike,Optimize queries and code,6,44,Yes,Infrastructure Team,Database Indexing,Resolved
ALERT-59896,InsuranceApp,28/07/2024 00:00,Memory Leak Detected,Medium,High number of background processes,Restart affected services,23,48,Yes,Support Engineer,Code Fix,Reoccurred
ALERT-67440,PaymentGateway,14/10/2024 00:00,Delayed Response Time,High,High server load,Optimize DB queries,19,113,Yes,Automated System,Infrastructure Scaling,Partially Fixed
ALERT-62923,BankingApp,16/06/2024 00:00,Service Unavailability,High,Deployment issues breaking services,Investigate network issues,22,35,No,Infrastructure Team,Code Fix,Reoccurred
ALERT-83753,InventoryService,20/12/2024 00:00,Delayed Response Time,High,High server load,Scale application infrastructure,7,106,No,Infrastructure Team,Code Fix,Closed
ALERT-38551,InventoryService,20/11/2024 00:00,Delayed Response Time,Medium,Network congestion,Scale application infrastructure,8,101,No,Automated System,Database Indexing,Reoccurred
ALERT-96516,BankingApp,14/07/2024 00:00,Delayed Response Time,Medium,Network congestion,Scale application infrastructure,19,31,No,Automated System,Infrastructure Scaling,Partially Fixed
ALERT-99917,InventoryService,13/08/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,22,113,No,Infrastructure Team,Code Fix,Monitoring
ALERT-66359,BankingApp,24/02/2025 00:00,API Failure - 500 Error Surge,Critical,Service down,Restart failing microservices,4,103,Yes,Support Engineer,None,Partially Fixed
ALERT-64317,LoanProcessing,14/09/2024 00:00,High CPU Usage,Medium,Unexpected traffic spike,Restart impacted services,16,29,Yes,Automated System,Code Fix,Partially Fixed
ALERT-20934,BankingApp,30/09/2024 00:00,Delayed Response Time,Medium,Backend service delays,Optimize DB queries,23,88,No,Support Engineer,Network Rerouting,Resolved
ALERT-76694,LoanProcessing,09/08/2024 00:00,Delayed Response Time,High,Slow database queries,Scale application infrastructure,2,115,Yes,Automated System,Network Rerouting,Partially Fixed
ALERT-18108,NotificationService,23/03/2025 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Investigate network issues,3,105,Yes,Automated System,Code Fix,Monitoring
ALERT-42037,InventoryService,19/03/2025 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,8,49,Yes,Automated System,None,Resolved
ALERT-96630,InventoryService,04/03/2025 00:00,High CPU Usage,Medium,Unexpected traffic spike,Restart impacted services,9,99,Yes,Automated System,None,Resolved
ALERT-71956,NotificationService,19/03/2025 00:00,High CPU Usage,Medium,"Inefficient code (infinite loops, unoptimized queries)",Optimize queries and code,6,24,No,Infrastructure Team,Code Fix,Monitoring
ALERT-35129,InsuranceApp,15/05/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,24,45,No,Automated System,Infrastructure Scaling,Resolved
ALERT-27459,LoanProcessing,04/11/2024 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Restart affected services,13,21,Yes,Automated System,Code Fix,Closed
ALERT-58564,LoanProcessing,23/08/2024 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Auto-scale infrastructure,3,24,No,Automated System,Infrastructure Scaling,Resolved
ALERT-50399,BankingApp,27/01/2025 00:00,Memory Leak Detected,Medium,High number of background processes,Fix memory leaks in code,8,90,No,Support Engineer,Network Rerouting,Resolved
ALERT-62419,InventoryService,08/06/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,7,65,No,Automated System,Network Rerouting,Resolved
ALERT-54765,PaymentGateway,01/08/2024 00:00,Delayed Response Time,Medium,Slow database queries,Scale application infrastructure,22,84,No,Automated System,Network Rerouting,Closed
ALERT-73783,BankingApp,05/07/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,20,49,No,Automated System,None,Reoccurred
ALERT-99935,NotificationService,28/06/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Fix memory leaks in code,16,96,Yes,Infrastructure Team,Code Fix,Closed
ALERT-39917,NotificationService,08/05/2024 00:00,Memory Leak Detected,Medium,High number of background processes,Restart affected services,19,93,No,Support Engineer,Infrastructure Scaling,Closed
ALERT-65848,BankingApp,20/03/2025 00:00,High CPU Usage,Medium,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,22,27,Yes,Infrastructure Team,Infrastructure Scaling,Resolved
ALERT-22469,LoanProcessing,12/03/2025 00:00,Delayed Response Time,High,Network congestion,Optimize DB queries,1,106,Yes,Infrastructure Team,Code Fix,Monitoring
ALERT-78625,InventoryService,16/01/2025 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Restart service automatically,12,74,No,Automated System,None,Closed
ALERT-36777,InsuranceApp,10/11/2024 00:00,Memory Leak Detected,High,Unreleased objects in application code,Fix memory leaks in code,18,92,Yes,Support Engineer,Infrastructure Scaling,Monitoring
ALERT-87160,PaymentGateway,04/06/2024 00:00,High CPU Usage,High,Unexpected traffic spike,Restart impacted services,8,38,No,Automated System,Code Fix,Closed
ALERT-96882,NotificationService,21/08/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Restart affected services,12,105,No,Support Engineer,Database Indexing,Resolved
ALERT-95055,InsuranceApp,13/01/2025 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Auto-scale infrastructure,3,20,Yes,Automated System,Database Indexing,Closed
ALERT-59138,InventoryService,14/11/2024 00:00,Service Unavailability,High,Deployment issues breaking services,Rollback recent deployments,19,118,No,Support Engineer,Infrastructure Scaling,Partially Fixed
ALERT-48394,LoanProcessing,15/09/2024 00:00,Delayed Response Time,Medium,High server load,Scale application infrastructure,8,83,No,Support Engineer,Network Rerouting,Resolved
ALERT-33910,LoanProcessing,09/04/2024 00:00,Delayed Response Time,High,Backend service delays,Implement caching mechanisms,20,94,Yes,Infrastructure Team,Infrastructure Scaling,Closed
ALERT-39316,BankingApp,12/05/2024 00:00,Service Unavailability,High,Network connectivity issues,Rollback recent deployments,16,46,Yes,Infrastructure Team,Database Indexing,Monitoring
ALERT-30061,LoanProcessing,26/02/2025 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Improve memory management,5,120,No,Support Engineer,None,Resolved
ALERT-30876,PaymentGateway,14/06/2024 00:00,Database Performance Issues,Critical,High DB connections,Optimize queries and add indexing,4,62,No,Automated System,Database Indexing,Partially Fixed
ALERT-10342,NotificationService,10/06/2024 00:00,Delayed Response Time,Medium,Backend service delays,Optimize DB queries,12,45,Yes,Automated System,Infrastructure Scaling,Partially Fixed
ALERT-81392,InventoryService,30/06/2024 00:00,Database Performance Issues,Critical,Unoptimized SQL Queries,Optimize queries and add indexing,21,118,No,Automated System,Code Fix,Monitoring
ALERT-68205,NotificationService,17/04/2024 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,3,35,No,Support Engineer,Database Indexing,Reoccurred
ALERT-64975,NotificationService,03/08/2024 00:00,High CPU Usage,Critical,Memory leaks,Optimize queries and code,21,71,Yes,Support Engineer,Network Rerouting,Closed
ALERT-13253,LoanProcessing,04/12/2024 00:00,Service Unavailability,High,Network connectivity issues,Investigate network issues,2,32,Yes,Support Engineer,Database Indexing,Closed
ALERT-42440,InsuranceApp,14/11/2024 00:00,Service Unavailability,Critical,Deployment issues breaking services,Restart service automatically,13,119,Yes,Automated System,None,Closed
ALERT-61819,InsuranceApp,03/12/2024 00:00,Database Performance Issues,Critical,High DB connections,Scale database resources,10,88,Yes,Infrastructure Team,Network Rerouting,Closed
ALERT-22490,InsuranceApp,13/11/2024 00:00,Delayed Response Time,High,Slow database queries,Scale application infrastructure,1,27,No,Infrastructure Team,None,Partially Fixed
ALERT-73046,NotificationService,25/09/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Scale up backend services,15,84,No,Support Engineer,Network Rerouting,Closed
ALERT-72501,LoanProcessing,18/01/2025 00:00,Memory Leak Detected,High,Unreleased objects in application code,Improve memory management,3,100,Yes,Support Engineer,None,Monitoring
ALERT-11573,InventoryService,16/11/2024 00:00,Database Performance Issues,Critical,High DB connections,Optimize queries and add indexing,5,112,No,Support Engineer,None,Closed
ALERT-12581,InsuranceApp,31/12/2024 00:00,Memory Leak Detected,High,Unreleased objects in application code,Improve memory management,2,62,Yes,Infrastructure Team,None,Partially Fixed
ALERT-92386,LoanProcessing,11/05/2024 00:00,High CPU Usage,High,Memory leaks,Restart impacted services,18,93,No,Automated System,Code Fix,Partially Fixed
ALERT-59284,BankingApp,22/04/2024 00:00,API Failure - 500 Error Surge,High,Service down,Restart failing microservices,14,53,No,Automated System,Network Rerouting,Reoccurred
ALERT-27830,InsuranceApp,08/12/2024 00:00,High CPU Usage,Medium,"Inefficient code (infinite loops, unoptimized queries)",Optimize queries and code,5,93,Yes,Infrastructure Team,None,Closed
ALERT-13192,LoanProcessing,12/01/2025 00:00,Delayed Response Time,Medium,High server load,Implement caching mechanisms,2,68,No,Support Engineer,Network Rerouting,Partially Fixed
ALERT-87950,InsuranceApp,07/09/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Restart affected services,15,24,No,Automated System,Code Fix,Partially Fixed
ALERT-38750,NotificationService,14/01/2025 00:00,High CPU Usage,Medium,"Inefficient code (infinite loops, unoptimized queries)",Optimize queries and code,6,57,Yes,Automated System,None,Closed
ALERT-48557,NotificationService,03/03/2025 00:00,Delayed Response Time,High,Slow database queries,Optimize DB queries,23,28,No,Support Engineer,Infrastructure Scaling,Resolved
ALERT-16948,PaymentGateway,21/10/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,6,24,No,Infrastructure Team,Infrastructure Scaling,Monitoring
ALERT-62260,LoanProcessing,05/03/2025 00:00,Service Unavailability,High,Network connectivity issues,Rollback recent deployments,3,83,Yes,Automated System,Database Indexing,Partially Fixed
ALERT-62020,InsuranceApp,14/05/2024 00:00,Memory Leak Detected,High,High number of background processes,Fix memory leaks in code,14,119,Yes,Support Engineer,Network Rerouting,Closed
ALERT-80783,InventoryService,01/04/2025 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Investigate network issues,23,46,Yes,Support Engineer,Infrastructure Scaling,Resolved
ALERT-86443,NotificationService,05/01/2025 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Restart failing microservices,2,28,Yes,Automated System,Infrastructure Scaling,Closed
ALERT-86018,InsuranceApp,19/02/2025 00:00,Service Unavailability,High,Network connectivity issues,Restart service automatically,20,47,No,Automated System,Infrastructure Scaling,Partially Fixed
ALERT-38940,InventoryService,30/04/2024 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,5,80,Yes,Infrastructure Team,Code Fix,Monitoring
ALERT-91394,BankingApp,15/09/2024 00:00,Delayed Response Time,Medium,High server load,Implement caching mechanisms,14,110,No,Automated System,Network Rerouting,Partially Fixed
ALERT-37726,LoanProcessing,06/11/2024 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,10,114,Yes,Support Engineer,None,Resolved
ALERT-98197,LoanProcessing,09/08/2024 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Restart service automatically,21,108,Yes,Infrastructure Team,Network Rerouting,Reoccurred
ALERT-65766,NotificationService,18/11/2024 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Fix memory leaks in code,15,48,No,Support Engineer,Database Indexing,Reoccurred
ALERT-94716,NotificationService,15/07/2024 00:00,Database Performance Issues,High,Indexing issues,Kill long-running queries,10,59,Yes,Infrastructure Team,Infrastructure Scaling,Reoccurred
ALERT-85534,InsuranceApp,01/05/2024 00:00,Delayed Response Time,High,Slow database queries,Optimize DB queries,17,117,Yes,Support Engineer,Code Fix,Resolved
ALERT-64458,LoanProcessing,10/08/2024 00:00,High CPU Usage,High,Unexpected traffic spike,Restart impacted services,7,40,No,Infrastructure Team,Database Indexing,Reoccurred
ALERT-22974,InsuranceApp,19/03/2025 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Investigate network issues,17,57,Yes,Automated System,Network Rerouting,Reoccurred
ALERT-20258,InventoryService,28/07/2024 00:00,Service Unavailability,High,Network connectivity issues,Restart service automatically,24,118,Yes,Automated System,Database Indexing,Closed
ALERT-23965,BankingApp,31/07/2024 00:00,Delayed Response Time,Medium,Slow database queries,Scale application infrastructure,14,75,No,Automated System,None,Partially Fixed
ALERT-95099,InsuranceApp,16/02/2025 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,13,54,Yes,Automated System,None,Reoccurred
ALERT-26112,BankingApp,14/09/2024 00:00,High CPU Usage,High,Unexpected traffic spike,Restart impacted services,8,106,No,Infrastructure Team,Network Rerouting,Resolved
ALERT-17646,NotificationService,28/11/2024 00:00,Delayed Response Time,High,Network congestion,Scale application infrastructure,18,55,No,Support Engineer,Infrastructure Scaling,Reoccurred
ALERT-37844,BankingApp,16/10/2024 00:00,High CPU Usage,Critical,Memory leaks,Auto-scale infrastructure,5,72,No,Support Engineer,Database Indexing,Monitoring
ALERT-52854,InventoryService,22/08/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Restart failing microservices,23,29,Yes,Automated System,Database Indexing,Reoccurred
ALERT-66381,LoanProcessing,17/08/2024 00:00,Database Performance Issues,Critical,High DB connections,Optimize queries and add indexing,13,20,Yes,Infrastructure Team,Database Indexing,Resolved
ALERT-67105,InventoryService,30/09/2024 00:00,Memory Leak Detected,Medium,High number of background processes,Fix memory leaks in code,20,50,Yes,Automated System,Code Fix,Reoccurred
ALERT-82208,InsuranceApp,12/11/2024 00:00,Memory Leak Detected,High,Unreleased objects in application code,Restart affected services,5,86,Yes,Infrastructure Team,Database Indexing,Resolved
ALERT-14763,LoanProcessing,01/04/2025 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Restart failing microservices,21,44,No,Support Engineer,None,Closed
ALERT-84597,LoanProcessing,25/12/2024 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Optimize queries and code,18,109,No,Support Engineer,Network Rerouting,Monitoring
ALERT-50904,NotificationService,09/10/2024 00:00,Delayed Response Time,High,Slow database queries,Scale application infrastructure,8,112,Yes,Automated System,Network Rerouting,Closed
ALERT-23153,InsuranceApp,11/04/2024 00:00,Delayed Response Time,Medium,High server load,Scale application infrastructure,19,80,No,Infrastructure Team,Network Rerouting,Reoccurred
ALERT-94691,BankingApp,21/12/2024 00:00,Service Unavailability,Critical,Network connectivity issues,Rollback recent deployments,15,21,No,Infrastructure Team,Infrastructure Scaling,Reoccurred
ALERT-60386,InventoryService,30/03/2025 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Scale up backend services,16,118,Yes,Infrastructure Team,Code Fix,Resolved
ALERT-71149,PaymentGateway,17/08/2024 00:00,High CPU Usage,High,Memory leaks,Restart impacted services,20,21,Yes,Infrastructure Team,Infrastructure Scaling,Monitoring
ALERT-24088,BankingApp,16/03/2025 00:00,Database Performance Issues,High,Indexing issues,Kill long-running queries,15,73,Yes,Infrastructure Team,Infrastructure Scaling,Reoccurred
ALERT-78443,PaymentGateway,07/05/2024 00:00,Memory Leak Detected,Medium,High number of background processes,Fix memory leaks in code,1,56,Yes,Infrastructure Team,Infrastructure Scaling,Monitoring
ALERT-74715,PaymentGateway,13/10/2024 00:00,High CPU Usage,Medium,Memory leaks,Optimize queries and code,22,28,No,Infrastructure Team,Network Rerouting,Closed
ALERT-65232,BankingApp,04/03/2025 00:00,High CPU Usage,Medium,Memory leaks,Restart impacted services,20,67,No,Automated System,Infrastructure Scaling,Reoccurred
ALERT-26604,InventoryService,22/05/2024 00:00,Memory Leak Detected,Medium,High number of background processes,Improve memory management,1,24,No,Infrastructure Team,None,Reoccurred
ALERT-83541,InventoryService,31/05/2024 00:00,Database Performance Issues,Critical,Unoptimized SQL Queries,Kill long-running queries,13,67,No,Support Engineer,Database Indexing,Partially Fixed
ALERT-59210,InsuranceApp,09/06/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Restart failing microservices,10,119,No,Infrastructure Team,Code Fix,Closed
ALERT-75027,NotificationService,22/10/2024 00:00,High CPU Usage,Medium,Memory leaks,Optimize queries and code,9,65,No,Automated System,Network Rerouting,Reoccurred
ALERT-29880,NotificationService,06/07/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,19,55,Yes,Support Engineer,Code Fix,Reoccurred
ALERT-59000,LoanProcessing,04/06/2024 00:00,Database Performance Issues,High,Unoptimized SQL Queries,Scale database resources,14,75,Yes,Automated System,Infrastructure Scaling,Partially Fixed
ALERT-33271,BankingApp,23/07/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Restart affected services,7,65,Yes,Support Engineer,Network Rerouting,Resolved
ALERT-99622,InsuranceApp,24/12/2024 00:00,High CPU Usage,High,Memory leaks,Auto-scale infrastructure,22,89,No,Automated System,None,Closed
ALERT-75436,PaymentGateway,04/09/2024 00:00,Database Performance Issues,High,High DB connections,Scale database resources,7,98,No,Automated System,Code Fix,Partially Fixed
ALERT-59983,InventoryService,23/02/2025 00:00,Delayed Response Time,Medium,Slow database queries,Optimize DB queries,1,83,Yes,Infrastructure Team,Infrastructure Scaling,Partially Fixed
ALERT-44528,BankingApp,20/02/2025 00:00,Delayed Response Time,Medium,Backend service delays,Scale application infrastructure,1,82,No,Automated System,Database Indexing,Partially Fixed
ALERT-36663,InsuranceApp,15/09/2024 00:00,Database Performance Issues,High,High DB connections,Scale database resources,9,107,Yes,Automated System,Code Fix,Partially Fixed
ALERT-21313,InsuranceApp,07/05/2024 00:00,Database Performance Issues,High,Indexing issues,Scale database resources,5,84,No,Support Engineer,Code Fix,Closed
ALERT-94858,InsuranceApp,20/02/2025 00:00,Database Performance Issues,High,Unoptimized SQL Queries,Optimize queries and add indexing,14,32,No,Support Engineer,Network Rerouting,Reoccurred
ALERT-62400,LoanProcessing,07/07/2024 00:00,Service Unavailability,Critical,Deployment issues breaking services,Restart service automatically,1,31,Yes,Automated System,Network Rerouting,Resolved
ALERT-30019,PaymentGateway,28/06/2024 00:00,Database Performance Issues,High,High DB connections,Kill long-running queries,19,117,No,Support Engineer,None,Resolved
ALERT-60694,BankingApp,24/07/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Restart failing microservices,24,72,No,Infrastructure Team,None,Monitoring
ALERT-90441,LoanProcessing,01/09/2024 00:00,High CPU Usage,High,Unexpected traffic spike,Optimize queries and code,2,112,Yes,Infrastructure Team,Infrastructure Scaling,Reoccurred
ALERT-39928,PaymentGateway,04/07/2024 00:00,Service Unavailability,Critical,Deployment issues breaking services,Restart service automatically,4,112,No,Support Engineer,Network Rerouting,Partially Fixed
ALERT-67974,LoanProcessing,12/06/2024 00:00,High CPU Usage,Critical,Unexpected traffic spike,Auto-scale infrastructure,13,39,No,Infrastructure Team,Code Fix,Resolved
ALERT-93744,PaymentGateway,18/01/2025 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,10,63,No,Automated System,None,Closed
ALERT-36349,InsuranceApp,01/07/2024 00:00,Delayed Response Time,Medium,Network congestion,Scale application infrastructure,17,78,No,Infrastructure Team,None,Closed
ALERT-46078,LoanProcessing,29/04/2024 00:00,Delayed Response Time,High,Backend service delays,Scale application infrastructure,7,45,No,Infrastructure Team,None,Partially Fixed
ALERT-30561,PaymentGateway,12/05/2024 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Restart service automatically,23,69,Yes,Infrastructure Team,Network Rerouting,Reoccurred
ALERT-37244,NotificationService,05/06/2024 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,4,64,No,Infrastructure Team,Database Indexing,Resolved
ALERT-37758,InsuranceApp,25/04/2024 00:00,High CPU Usage,High,Memory leaks,Restart impacted services,21,84,No,Support Engineer,Network Rerouting,Partially Fixed
ALERT-29660,BankingApp,11/04/2024 00:00,Memory Leak Detected,Medium,High number of background processes,Fix memory leaks in code,22,37,No,Automated System,None,Partially Fixed
ALERT-19967,LoanProcessing,01/11/2024 00:00,Database Performance Issues,High,High DB connections,Kill long-running queries,16,32,Yes,Automated System,Code Fix,Resolved
ALERT-43035,InsuranceApp,12/09/2024 00:00,Memory Leak Detected,Medium,Unreleased objects in application code,Fix memory leaks in code,1,99,No,Automated System,Database Indexing,Resolved
ALERT-36582,InventoryService,14/07/2024 00:00,High CPU Usage,Medium,Unexpected traffic spike,Optimize queries and code,2,52,No,Automated System,Network Rerouting,Resolved
ALERT-87392,BankingApp,30/10/2024 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Investigate network issues,22,30,No,Support Engineer,Network Rerouting,Monitoring
ALERT-99664,InsuranceApp,11/01/2025 00:00,Delayed Response Time,High,Network congestion,Optimize DB queries,13,97,No,Infrastructure Team,Database Indexing,Reoccurred
ALERT-24418,PaymentGateway,01/03/2025 00:00,High CPU Usage,Medium,"Inefficient code (infinite loops, unoptimized queries)",Auto-scale infrastructure,17,35,No,Infrastructure Team,Infrastructure Scaling,Reoccurred
ALERT-69919,InsuranceApp,17/10/2024 00:00,Database Performance Issues,Critical,Indexing issues,Kill long-running queries,15,77,Yes,Infrastructure Team,Database Indexing,Reoccurred
ALERT-80574,BankingApp,12/02/2025 00:00,Database Performance Issues,High,Indexing issues,Optimize queries and add indexing,7,109,Yes,Infrastructure Team,Database Indexing,Closed
ALERT-28544,NotificationService,01/03/2025 00:00,Memory Leak Detected,Critical,High number of background processes,Restart affected services,22,30,No,Support Engineer,None,Closed
ALERT-59615,NotificationService,16/09/2024 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Investigate network issues,15,46,No,Support Engineer,None,Partially Fixed
ALERT-15194,InsuranceApp,10/11/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Fix memory leaks in code,3,103,No,Infrastructure Team,Code Fix,Closed
ALERT-21732,InsuranceApp,2025-04-23 09:50:00,Service Unavailability,High,Deployment issues breaking services,Restart service automatically,19,96,Yes,Support Engineer,Infrastructure Scaling,Reoccurred
ALERT-27985,NotificationService,2025-04-23 09:55:00,Service Unavailability,High,Slow database queries,Optimize DB queries,17,63,No,Infrastructure Team,None,Reoccurred
